epoch,train_loss,val_loss,val_auc
1,0.8581,0.8108,0.5319
2,0.7936,0.8315,0.5679
3,0.8053,0.8504,0.5789
4,0.8076,0.8474,0.5734
5,0.8078,0.827,0.5651
6,0.8178,0.8224,0.5568
7,0.7945,0.8209,0.5568
8,0.8442,0.8232,0.5679
9,0.8313,0.8227,0.5679
10,0.8014,0.8242,0.5651
11,0.8118,0.8262,0.5623
12,0.8381,0.8209,0.5706
13,0.8017,0.8174,0.5873
14,0.8142,0.8183,0.5485
15,0.7952,0.826,0.5152
16,0.8129,0.8134,0.5319
17,0.7837,0.8141,0.5346
18,0.8074,0.8131,0.5291
19,0.8068,0.8223,0.5042
20,0.7971,0.8129,0.5042
